,coupon,yield,maturityDate,ISIN,issuePrice,issueDate,2/9,2/8,2/7,2/6,2/3,2/2,2/1,1/31,1/30,1/27,1/26,1/25,1/24,1/23,1/20,1/19,1/18,1/17,1/16,1/13,1/12,1/11,1/10
CAN 1.50 Jun 23,1.5,4.55,2023-06-01,CA135087A610,97.98,2012-07-30,99.11,99.09,99.07,99.06,99.05,99.08,99.03,99.01,99.0,99.0,99.0,99.0,98.98,98.96,98.95,98.95,98.94,98.92,98.92,98.91,98.91,98.88,98.86
CAN 2.50 Jun 24,2.5,4.33,2024-06-01,CA135087B451,98.99,2013-07-02,97.77,97.72,97.7,97.74,97.88,98.03,97.91,97.91,97.89,97.96,98.07,98.07,98.01,98.02,98.05,98.11,98.17,98.07,98.08,98.04,97.97,97.92,97.83
CAN 2.25 Jun 25,2.25,3.68,2025-06-01,CA135087D507,98.85,2014-06-30,96.98,96.88,96.86,96.94,97.22,97.51,97.24,97.23,97.23,97.35,97.56,97.54,97.39,97.43,97.51,97.68,97.7,97.45,97.45,97.26,97.05,96.92,96.74
CAN 1.75 Mar 23,1.75,,2023-03-01,CA135087H490,99.56,2017-10-06,99.89,99.86,99.86,99.85,99.84,99.84,99.82,99.8,99.78,99.79,99.78,99.77,99.76,99.75,99.74,99.72,99.72,99.7,99.71,99.7,99.68,99.67,99.64
CAN 2.25 Mar 24,2.25,4.49,2024-03-01,CA135087J546,98.99,2018-10-05,97.77,97.74,97.7,97.72,97.79,97.9,97.82,97.81,97.78,97.84,97.92,97.92,97.87,97.86,97.87,97.92,97.95,97.87,97.93,97.91,97.87,97.85,97.77
CAN 1.50 Sep 24,1.5,4.18,2024-09-01,CA135087J967,99.45,2019-04-05,96.1,96.03,96.0,96.06,96.25,96.42,96.29,96.23,96.24,96.29,96.48,96.47,96.39,96.4,96.4,96.5,96.58,96.45,96.48,96.4,96.29,96.17,96.08
CAN 1.25 Mar 25,1.25,3.89,2025-03-01,CA135087K528,99.62,2019-10-11,94.99,94.88,94.86,94.94,95.18,95.43,95.2,95.2,95.19,95.3,95.5,95.47,95.34,95.38,95.44,95.59,95.61,95.42,95.38,95.22,95.05,94.91,
CAN 0.50 Sep 25,0.5,3.7,2025-09-01,CA135087K940,99.63,2020-04-03,92.43,92.31,92.27,92.33,92.62,92.94,92.64,92.56,92.61,92.72,93.0,92.97,92.81,92.82,92.87,93.03,93.03,92.75,92.74,92.56,92.35,92.11,91.95
CAN 0.25 Apr 24,0.25,4.45,2024-04-01,CA135087L690,99.86,2020-10-16,95.47,95.42,95.39,95.41,95.49,95.61,95.48,95.48,95.45,95.51,95.6,95.59,95.52,95.52,95.49,95.54,95.55,95.44,95.49,95.46,95.47,95.39,95.34
CAN 0.25 Feb 23,0.25,,2023-02-01,CA135087L773,99.94,2020-10-26,,,,,,,,,,99.99,99.98,99.94,99.93,99.92,99.91,99.9,99.87,99.86,99.84,99.83,99.82,99.79,99.78
CAN 0.25 May 23,0.25,4.51,2023-05-01,CA135087L856,100.05,2021-02-05,99.12,99.08,99.06,99.05,99.04,99.05,99.0,98.99,98.97,98.97,98.96,98.94,98.92,98.91,98.89,98.88,98.86,98.85,98.84,98.83,98.82,98.78,98.76
CAN 0.25 Aug 23,0.25,4.56,2023-08-01,CA135087M359,99.69,2021-05-14,98.07,98.02,98.0,97.98,97.98,98.02,97.95,97.93,97.92,97.9,97.91,97.9,97.87,97.84,97.83,97.84,97.83,97.8,97.8,97.79,97.78,97.73,97.71
CAN 0.75 Oct 24,0.75,4.15,2024-10-01,CA135087M508,99.97,2021-07-12,94.79,94.71,94.68,94.76,94.94,95.12,94.95,94.95,94.95,95.01,95.15,95.14,95.05,95.06,95.09,95.19,95.25,95.14,95.1,95.01,94.94,94.8,
CAN 0.50 Nov 23,0.5,4.58,2023-11-01,CA135087M763,99.9,2021-08-09,97.2,97.15,97.12,97.12,97.14,97.2,97.11,97.08,97.06,97.07,97.1,97.11,97.06,97.03,97.01,97.05,97.05,97.01,97.02,96.99,97.0,96.94,
CAN 0.75 Feb 24,0.75,4.6,2024-02-01,CA135087M920,99.73,2021-10-22,96.45,96.4,96.37,96.37,96.42,96.51,96.4,96.39,96.38,96.4,96.46,96.47,96.41,96.4,96.38,96.46,96.47,96.44,96.46,96.44,96.44,96.38,96.33
CAN 1.50 Apr 25,1.5,3.87,2025-04-01,CA135087N340,99.74,2022-01-24,95.32,95.22,95.2,95.28,95.53,95.79,95.56,95.55,95.55,95.67,95.87,95.84,95.68,95.72,95.79,95.95,95.96,95.76,95.72,95.55,95.35,95.21,
